科目编码,科目名称,科目类型,本期预算,本期实际,累计预算,累计实际,去年同期
# 示例数据（非真实数据，仅供参考格式）,,,,,,,,
5001,主营业务收入,收入类,85000000,82000000,510000000,492000000,79000000
5051,其他业务收入,收入类,5000000,4800000,30000000,28500000,4500000
5101,投资收益,收入类,1000000,1200000,6000000,7200000,800000
5301,营业外收入,收入类,500000,300000,3000000,1800000,450000
6001,主营业务成本,运营支出,51000000,49500000,306000000,297000000,47000000
6051,其他业务成本,运营支出,3000000,2900000,18000000,17400000,2700000
6401,管理费用,期间费用,8000000,7800000,48000000,46800000,7500000
6402,销售费用,期间费用,3000000,3200000,18000000,19200000,2800000
6601,财务费用,期间费用,2000000,1800000,12000000,10800000,1900000
6602,研发费用,期间费用,5000000,4500000,30000000,27000000,4000000
6701,资产减值损失,损益类,1000000,800000,6000000,4800000,900000
6711,信用减值损失,损益类,500000,600000,3000000,3600000,400000
# 人员经费类,,,,,,,,
6801,职工薪酬-工资,人员经费,12000000,11800000,72000000,70800000,11000000
6802,职工薪酬-社保公积金,人员经费,4200000,4150000,25200000,24900000,4000000
6803,职工薪酬-福利费,人员经费,1500000,1200000,9000000,7200000,1300000
# 资本性支出,,,,,,,,
7001,资本性支出-设备购置,资本性支出,5000000,3000000,30000000,18000000,4000000
7002,资本性支出-工程建设,资本性支出,10000000,5000000,60000000,30000000,8000000
7003,资本性支出-无形资产,资本性支出,2000000,1000000,12000000,6000000,1500000
# 税费类,,,,,,,,
8001,税金及附加,税费,1500000,1400000,9000000,8400000,1300000
8002,所得税费用,税费,3000000,2800000,18000000,16800000,2500000
# 注释行：以上数据为示例，请根据企业实际预算科目填写,,,,,,,,
