报表项目,行次,期末余额,年初余额
# 示例数据（非真实数据，仅供参考格式）,,,,
# —— 资产类 ——,,,,
流动资产：,,——,——
货币资金,1,15000000,12000000
交易性金融资产,2,0,0
衍生金融资产,3,0,0
应收票据,4,3000000,2500000
应收账款,5,8000000,7000000
应收款项融资,6,1000000,800000
预付款项,7,2000000,1500000
其他应收款,8,500000,400000
存货,9,6000000,5500000
其中：原材料,10,2000000,1800000
库存商品,11,3000000,2800000
合同资产,12,1500000,1200000
持有待售资产,13,0,0
一年内到期的非流动资产,14,0,0
其他流动资产,15,500000,300000
流动资产合计,16,37500000,31200000
# —— 非流动资产 ——,,,,
债权投资,17,2000000,2000000
其他债权投资,18,0,0
长期应收款,19,0,0
长期股权投资,20,5000000,5000000
其他权益工具投资,21,1000000,800000
其他非流动金融资产,22,0,0
投资性房地产,23,3000000,3000000
固定资产,24,20000000,21000000
在建工程,25,5000000,3000000
生产性生物资产,26,0,0
油气资产,27,0,0
使用权资产,28,2000000,2200000
无形资产,29,4000000,4500000
开发支出,30,0,0
商誉,31,0,0
长期待摊费用,32,500000,600000
递延所得税资产,33,800000,700000
其他非流动资产,34,1000000,1000000
非流动资产合计,35,44300000,39120000
资产总计,36,81800000,70320000
# —— 负债类 ——,,,,
流动负债：,,——,——
短期借款,37,5000000,3000000
交易性金融负债,38,0,0
衍生金融负债,39,0,0
应付票据,40,2000000,1500000
应付账款,41,6000000,5000000
预收款项,42,1000000,800000
合同负债,43,3000000,2500000
应付职工薪酬,44,2000000,1800000
其中：工资、奖金、津贴和补贴,45,1800000,1600000
社会保险费,46,200000,200000
应交税费,47,1500000,1200000
其他应付款,48,4000000,3500000
持有待售负债,49,0,0
一年内到期的非流动负债,50,1000000,500000
其他流动负债,51,500000,300000
流动负债合计,52,22400000,14250000
# —— 非流动负债 ——,,,,
长期借款,53,10000000,8000000
应付债券,54,0,0
其中：优先股,55,0,0
永续债,56,0,0
租赁负债,57,1500000,1700000
长期应付款,58,2000000,2000000
长期应付职工薪酬,59,500000,500000
预计负债,60,300000,200000
递延收益,61,1000000,1200000
递延所得税负债,62,500000,400000
其他非流动负债,63,200000,200000
非流动负债合计,64,14200000,13390000
负债合计,65,36600000,27640000
# —— 所有者权益类 ——,,,,
实收资本（或股本）,66,30000000,30000000
其中：国有资本,67,24000000,24000000
其他权益工具,68,0,0
其中：优先股,69,0,0
永续债,70,0,0
资本公积,71,5000000,5000000
减：库存股,72,0,0
其他综合收益,73,200000,100000
其中：外币报表折算差额,74,0,0
专项储备,75,500000,400000
盈余公积,76,2000000,1800000
未分配利润,77,7500000,5380000
归属于母公司所有者权益合计,78,45200000,42680000
少数股东权益,79,0,0
所有者权益合计,80,45200000,42680000
负债和所有者权益总计,81,81800000,70320000
# 注释：以上数据为示例，请根据企业实际财务数据填写,,,,
