报表项目,行次,本期金额,本年累计,上年同期
# 示例数据（非真实数据，仅供参考格式）,,,,,
一、营业收入,1,50000000,50000000,0
其中：主营业务收入,2,48000000,48000000,0
其他业务收入,3,2000000,2000000,0
减：营业成本,4,30000000,30000000,0
其中：主营业务成本,5,28000000,28000000,0
其他业务成本,6,2000000,2000000,0
税金及附加,7,500000,500000,0
销售费用,8,3000000,3000000,0
管理费用,9,5000000,5000000,0
研发费用,10,2000000,2000000,0
财务费用,11,1000000,1000000,0
其中：利息费用,12,1200000,1200000,0
利息收入,13,300000,300000,0
加：其他收益,14,500000,500000,0
投资收益,15,800000,800000,0
其中：对联营企业和合营企业的投资收益,16,600000,600000,0
以摊余成本计量的金融资产终止确认收益,17,0,0,0
净敞口套期收益,18,0,0,0
公允价值变动收益,19,200000,200000,0
信用减值损失,20,-300000,-300000,0
资产减值损失,21,-500000,-500000,0
资产处置收益,22,100000,100000,0
二、营业利润,27,7300000,7300000,0
加：营业外收入,28,200000,200000,0
减：营业外支出,30,100000,100000,0
三、利润总额,31,7400000,7400000,0
减：所得税费用,32,1850000,1850000,0
四、净利润,33,5550000,5550000,0
（一）持续经营净利润,34,5550000,5550000,0
（二）终止经营净利润,35,0,0,0
五、其他综合收益的税后净额,36,0,0,0
六、综合收益总额,37,5550000,5550000,0
七、每股收益：,,——,——,——
（一）基本每股收益（元/股）,38,——,——,——
（二）稀释每股收益（元/股）,39,——,——,——
# 注释：以上数据为示例，请根据企业实际财务数据填写,,,,,
